📡 Loading graph from: data/youtube_data.db
Adding edge: Mc4t66r54dU -> 0CIa07W6GZM
Adding edge: Mc4t66r54dU -> wDpb6g4xmfE
Adding edge: Iua3DINVtKQ -> XcbWiHIgiaY
Adding edge: Iua3DINVtKQ -> yLABHioTidI
Adding edge: Iua3DINVtKQ -> dTqvS83zT7k
Adding edge: Iua3DINVtKQ -> ESuPsA-Qlmo
Adding edge: Iua3DINVtKQ -> we_amjmV2Lw
Adding edge: Iua3DINVtKQ -> dArvdM2-mfE
Adding edge: Iua3DINVtKQ -> JxDyKK9sa84
Adding edge: Iua3DINVtKQ -> Vw_8TMlZ3rk
Adding edge: Iua3DINVtKQ -> xrISRoRuJXU
Adding edge: Iua3DINVtKQ -> 6Od6Z86X1Ik
Adding edge: fFjfTB3If4Q -> PzugDMRM9Jc
Adding edge: fFjfTB3If4Q -> 8efjL9wTlAs
Adding edge: fFjfTB3If4Q -> kl1EIn2O09A
Adding edge: fFjfTB3If4Q -> p8-_DJd1Ii8
Adding edge: fFjfTB3If4Q -> eROMPcuEVao
Adding edge: fFjfTB3If4Q -> no_oAmo5hIQ
Adding edge: fFjfTB3If4Q -> YhkkiXArOn8
Adding edge: fFjfTB3If4Q -> e7QG9vuJ75g
Adding edge: fFjfTB3If4Q -> LqelpONZvpw
Adding edge: fFjfTB3If4Q -> 46XaJvIxPeY
Adding edge: -dMFUM0mU10 -> jtqXrhX8_DU
Adding edge: -dMFUM0mU10 -> J5HVis7SmP4
Adding edge: -dMFUM0mU10 -> -NigyzBSRCM
Adding edge: -dMFUM0mU10 -> conCt1Ls5zM
Adding edge: -dMFUM0mU10 -> Ip0XlEmJafk
Adding edge: -dMFUM0mU10 -> eog1iZO9TLU
Adding edge: -dMFUM0mU10 -> HrqH-oESxCA
Adding edge: -dMFUM0mU10 -> 6KJEIVyy40g
Adding edge: -dMFUM0mU10 -> YISnxMg1nNM
Adding edge: -dMFUM0mU10 -> ysQ-dMA_qkk
Adding edge: G6HL0WyBDMM -> JX-yUUcJM2E
Adding edge: G6HL0WyBDMM -> 89jvYGjAdrY
Adding edge: G6HL0WyBDMM -> iQI2EMMeTUQ
Adding edge: G6HL0WyBDMM -> WF5lRpUJyAg
Adding edge: G6HL0WyBDMM -> Z9Wv3vx8kEc
Adding edge: G6HL0WyBDMM -> 0dO28fHJ-q4
Adding edge: G6HL0WyBDMM -> 2-YjvEdGlfE
Adding edge: G6HL0WyBDMM -> WkWORopX26o
Adding edge: G6HL0WyBDMM -> KaiHdIKfSpk
Adding edge: G6HL0WyBDMM -> MEi7WlKb4Js
Adding edge: h0HjktaeEpA -> Ho1AIq4T5Gw
Adding edge: h0HjktaeEpA -> zpTOtt9gOE8
Adding edge: h0HjktaeEpA -> Bkj9eA77WLU
Adding edge: h0HjktaeEpA -> KGBGXZTQ_KI
Adding edge: h0HjktaeEpA -> h5Zwg3Ag-bE
Adding edge: h0HjktaeEpA -> eiQZ0yDKnnA
Adding edge: h0HjktaeEpA -> eUQZcXrciRA
Adding edge: h0HjktaeEpA -> 78cX0yLJPMw
Adding edge: h0HjktaeEpA -> V56BwknF7Z8
Adding edge: h0HjktaeEpA -> kU2pSzKkfOk
Adding edge: mn8oZhcm3QA -> wQVoHQbMK44
Adding edge: mn8oZhcm3QA -> AQNRkkC_oYA
Adding edge: mn8oZhcm3QA -> hbNVADzSA3s
Adding edge: mn8oZhcm3QA -> IPn1VxluCMg
Adding edge: mn8oZhcm3QA -> q-KhCik_4G4
Adding edge: mn8oZhcm3QA -> YwN3W2fYz-E
Adding edge: mn8oZhcm3QA -> nlWwwH5Zk6k
Adding edge: mn8oZhcm3QA -> 3LDe0ZA71Is
Adding edge: mn8oZhcm3QA -> o3MLLCYii4Q
Adding edge: mn8oZhcm3QA -> ZvbV73U3mK0
Adding edge: 3lar1hvS-TU -> VuBpiii1WBw
Adding edge: 3lar1hvS-TU -> d2Uo33Ijh6M
Adding edge: 3lar1hvS-TU -> 5z2lPpj3OTQ
Adding edge: 3lar1hvS-TU -> U7TCIEmotdI
Adding edge: 3lar1hvS-TU -> hBiHRaUMdLM
